CGNDB ID,Geographical Name,Language,Syllabic Form,Generic Term,Generic Category,Concise Code,Toponymic Feature ID,Latitude,Longitude,Location,Province - Territory,Relevance at Scale,Decision Date,Source
IAUGA,Lungul Lake,Undetermined,,Lake,Water Feature,LAKE,0d01c9a4849c20c360e8ec4b6bcbdf6f,54.1958334,-112.5205556,20-60-17-W4,Alberta,50000,2003-04-22,Alberta Culture and Tourism
IAFKF,Lunnford,Undetermined,,Locality,Populated Place,UNP,0c84b1e3849c20c340fb026c732eb9cf,54.0633333,-114.3255556,1-59-3-W5,Alberta,250000,1945-12-08,Alberta Culture and Tourism
IAFKG,Lure,Undetermined,,Locality,Populated Place,UNP,0c84b262849c20c37a8f05192dc78d99,52.1613889,-111.5066667,9-37-11-W4,Alberta,250000,1951-04-05,Alberta Culture and Tourism
IAFKH,Luscar,Undetermined,,Locality,Populated Place,UNP,0cff99a0849c20c3340717684bf73319,53.0666667,-117.4000000,23-47-24-W5,Alberta,250000,1928-12-31,Alberta Culture and Tourism
IAFKI,Luscar Creek,Undetermined,,Creek,Water Feature,RIV,0c84b329849c20c32ff493b2cecb6abe,53.0963890,-117.4463890,16-47-23-W5,Alberta,50000,1928-12-31,Alberta Culture and Tourism
IAFKJ,Luscar Mountain,Undetermined,,Mountain,Terrain Feature,MTN,0c84b2a3849c20c36b537d0292d33c0a,53.0333333,-117.4333333,47-24-W5,Alberta,250000,1928-12-31,Alberta Culture and Tourism
IAFKL,Lusk Creek,Undetermined,,Creek,Water Feature,RIV,0c84b36b849c20c338ece82b41c58b93,51.0444445,-115.0300000,15-24-8-W5,Alberta,250000,1956-11-02,Alberta Culture and Tourism
IAFKM,Lutose,Undetermined,,Locality,Populated Place,UNP,0c84b498849c20c300946e0021d88694,59.4252778,-117.2583333,"120-19,20-W5",Alberta,250000,1962-11-15,Alberta Culture and Tourism
IAFKN,Lutose Creek,Undetermined,,Creek,Water Feature,RIV,0c84b40b849c20c3cafbe5dc989a2c49,59.3938889,-117.2702778,120-19-W5,Alberta,250000,1944-11-06,Alberta Culture and Tourism
IAFKO,Luzan,Undetermined,,Locality,Populated Place,UNP,0c84b4e4849c20c3ae8b333845d1a801,53.8025000,-112.2575000,36-55-16-W4,Alberta,250000,1950-05-02,Alberta Culture and Tourism
IAFKR,Lyall Creek,Undetermined,,Creek,Water Feature,RIV,0c84b539849c20c33dfccbbd7e52f6fa,50.1061111,-114.6286111,13-5-W5,Alberta,50000,1960-03-03,Alberta Culture and Tourism
IAFKT,Lyalta,Undetermined,,Locality,Populated Place,UNP,0c84b57a849c20c3bbf613e3c989f746,51.1136111,-113.6030556,8-25-26-W4,Alberta,250000,1955-01-20,Alberta Culture and Tourism
IAFKU,Lyautey Glacier,Undetermined,,Glacier,Ice and Snow Feature,GLAC,0c84b626849c20c3863ac02418b79b39,50.6102778,-115.2286111,19-9-W5,Alberta,50000,1924-03-31,Alberta Culture and Tourism
IAFKW,Lychnis Mountain,Undetermined,,Mountain,Terrain Feature,MTN,0c84b668849c20c329615db57befaac5,51.4819440,-115.9694440,29-14-W5,Alberta,250000,1956-11-02,Alberta Culture and Tourism
IAFKX,Lyell Icefield,Undetermined,,Icefield,Ice and Snow Feature,GLAC,5ddf2435ba3411d892e2080020a0f4c9,51.9338889,-117.0513889,34-22-W5,Alberta,1000000,1964-07-06,Alberta Culture and Tourism
